 Consec, Region, SampleID,Ca_input (mg/L),Mg_input (mg/L),Na_input (mg/L),K_input (mg/L),SO4_input (mg/L),Cl_input (mg/L),HCO3_input (mg/L),CO3_input (mg/L)," Data in mEq/L  
 start here",Ca mEq/L,Mg mEq/L,Na mEq/L,K mEq/L,SO4 mEq/L,Cl mEq/L,HCO3 mEq/L,CO3 mEq/L," Data in mMol/L 
 start here",Ca mMol/L,Mg mMol/L,Na mMol/L,K mMol/L,SO4 mMol/L,Cl mMol/L,HCO3 mMol/L,CO3 mMol/L,CationC,AnionC,FinalC,"hlr transformations  
 start here",hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,"7 hlr model for cations 
 start here",hDF1_Ca-Mg-Na,hDF2_Ca-Mg-Na,hp_Ca,hp_Mg,hp_Na,------,hDF1_Ca-Mg-K,hDF2_Ca-Mg-K,hp_Ca,hp_Mg,hp_K,------,hDF1_Ca-Na-K,hDF2_Ca-Na-K,hp_Ca,hp_Na,hp_K,------,hDF1_Mg-Na-K,hDF2_Mg-Na-K,hp_Mg,hp_Na,hp_K,"7 hlr model for anions 
 start here",hDF1_SO4-Cl-HCO3,hDF2_SO4-Cl-HCO3,hp_SO4,hp_Cl,hp_HCO3,------,hDF1_SO4-Cl-CO3,hDF2_SO4-Cl-CO3,hp_SO4,hp_Cl,hp_CO3,------,hDF1_SO4-HCO3-CO3,hDF2_SO4-HCO3-CO3,hp_SO4,hp_HCO3,hp_CO3,------,hDF1_Cl-HCO3-CO3,hDF2_Cl-HCO3-CO3,hp_Cl,hp_HCO3,hp_CO3,"Sum of cation probabilities 
 of 7 hlr model  start here",hp_Ca,hp_Mg,hp_Na,hp_K,CationP,CationPH,"Sum of anion probabilities 
 of 7 hlr model  start here",hp_SO4,hp_Cl,hp_HCO3,hp_CO3,AnionP,AnionPH,FinalP,FinalPH,-----,Ionic imbalance %,Acceptability
1,CALVILLO POZO No. 1 INDEPENDENCIA,DLAGU42-190415,33.68,1.543,33.33,7.015,17.44278,16.15,103.4,13.2, ,1.680722591,0.126969759,1.449775315,0.179419566,0.363179395,0.455571227,1.694637472,0.439941341, ,0.840361295,0.06348488,1.449775315,0.179419566,0.181589698,0.455571227,1.694637472,0.219970671,sodium,bicarbonate,sodium-bicarbonate, ,1.787391325,-1.340970781,0.748466082,0.736443353,-0.183358989,-1.497031029,0.544698865,,1.378733227,3.109421511,0.297830026,0.001841554,0.70032842,,2.449246361,-1.108850853,0.947741535,0.005937582,0.046320883,,-1.57759685,-1.466574989,0.285519385,0.699565866,0.014914749,,1.324890948,-2.851783611,0.002906987,0.975504872,0.021588142,,1.87618085,1.261484061,0.012726016,0.084803695,0.90247029,,0.439700407,0.941400155,0.112340078,0.724746314,0.162913608,,1.878264171,-1.650473592,0.013644901,0.967053904,0.019301195,,2.057249868,-0.383613679,0.086381512,0.895765563,0.017852925,,0.382772736,0.002671531,0.593849789,0.020705943,sodium,sodium-calcium,,0.034677749,0.22398288,0.691322439,0.050016932,bicarbonate,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,,7.567158053,acceptable
2,POZO CLAVE 91,DLBAJ83-080315,22.16,9.546,91,3.223,26.048,51.21,108.87,13.37, ,1.105843605,0.785517383,3.958282438,0.082433252,0.542350296,1.444569817,1.784286089,0.445607252, ,0.552921802,0.392758692,3.958282438,0.082433252,0.271175148,1.444569817,1.784286089,0.222803626,sodium,bicarbonate,sodium-bicarbonate, ,0.371224916,-1.93914516,1.932431429,0.741655409,-0.931146529,-1.142353341,0.938129539,,2.290281103,0.96870059,0.024484797,0.011837354,0.963677849,,-0.24513109,-1.908781504,0.641413391,0.336442419,0.02214419,,-1.865818825,-3.281971358,0.027454097,0.97170433,0.000841573,,-1.152457011,-3.613325265,0.014907689,0.984213595,0.000878716,,2.034604285,0.20302605,0.016905282,0.394597184,0.588497533,,0.315353941,2.002987134,0.041718161,0.929515874,0.028765965,,1.917284128,-1.192696909,0.02885853,0.951583023,0.019558447,,2.141028227,0.839205341,0.399630833,0.588808215,0.011560952,,0.173338071,0.090796866,0.729898943,0.00596612,sodium,sodium,,0.021870493,0.430935973,0.532222193,0.014971341,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,,16.90099314,imbalance too high
3,POZO DEL SISTEMA DE AGUA POTABLE DE UAYAMON,DLCAM227-130915,155.3,17.86,20.22,3,13.9319,54.2,174.24,39.6, ,7.749887719,1.469656449,0.879521658,0.076729679,0.290078704,1.528913963,2.855644421,1.319824023, ,3.874943859,0.734828225,0.879521658,0.076729679,0.145039352,1.528913963,2.855644421,0.659912012,calcium,bicarbonate,calcium-bicarbonate, ,-0.007128346,-0.186869771,2.252219838,1.615503319,-0.739804516,-1.364544395,0.100401907,,-1.022870409,1.531294026,0.903579483,0.034402321,0.062018196,,0.587961413,-3.64398336,0.958317199,0.040714587,0.000968214,,-3.743397095,-0.539372027,0.935496287,0.063709459,0.000794255,,-1.979665335,-1.661410476,0.418700076,0.573920986,0.007378938,,2.9887317,0.586384706,0.003171098,0.245760963,0.75106794,,1.936919858,1.263111628,0.010443618,0.783810872,0.20574551,,1.00684518,-2.718060014,0.003892969,0.921491341,0.074615689,,1.387173655,0.014066126,0.232359878,0.715124951,0.052515171,,0.699348242,0.123454246,0.17491216,0.002285352,calcium,calcium,,0.004376921,0.315482928,0.596921058,0.083219093,bicarbonate,bicarbonate-chloride,calcium-bicarbonate,calcium bicarbonate-chloride,,25.85818205,imbalance too high
4,POZO DEL SISTEMA DE AGUA POTABLE DE ALFREDO V. BONFIL,DLCAM244-130915,71.54,16.62,20.71,2.467,134.0457,64.06,233.64,57.42, ,3.570038425,1.367619831,0.900835487,0.063097373,2.790990672,1.807052186,3.829159565,1.913744834, ,1.785019213,0.683809916,0.900835487,0.063097373,1.395495336,1.807052186,3.829159565,0.956872417,calcium,bicarbonate,calcium-bicarbonate, ,0.324494245,0.048851572,2.707495095,-0.388830487,-0.647277947,-1.3982264,-0.011495844,,-0.822755009,0.817699583,0.768874765,0.119421197,0.111704038,,-0.130854005,-3.72747123,0.869279554,0.129704408,0.001016038,,-3.71291786,-0.954618411,0.878350825,0.120856436,0.000792739,,-2.507976155,-1.765002397,0.528237271,0.468407459,0.00335527,,1.064859367,0.731767848,0.064818146,0.188532195,0.746649659,,-0.161295341,0.930659695,0.232597548,0.65563323,0.111769222,,1.620606947,-0.73022192,0.074976986,0.889566815,0.0354562,,1.682957058,0.035776511,0.201693221,0.765943251,0.032363528,,0.629126286,0.194340719,0.175241983,0.001291012,calcium,calcium,,0.09309817,0.261464662,0.600539931,0.044897237,bicarbonate,bicarbonate-chloride,calcium-bicarbonate,calcium bicarbonate-chloride,,27.33166479,imbalance too high
5,LAGUNA VIEJA 2,DLCHI306-190415,13.35,5.928,73.91,2.658,21.58585,9.6,143.1,16.96, ,0.666200908,0.487800864,3.214908297,0.067982495,0.449443033,0.270803949,2.345286482,0.565257966, ,0.333100454,0.243900432,3.214908297,0.067982495,0.224721517,0.270803949,2.345286482,0.282628983,sodium,bicarbonate,sodium-bicarbonate, ,0.505810357,-2.072983679,1.783320182,0.587708502,0.401175309,-1.757592407,0.358435411,,2.562667611,1.003003744,0.015374668,0.007896452,0.976728879,,-0.197736832,-1.652441457,0.620251295,0.346139004,0.033609701,,-1.631253074,-3.439693729,0.017150422,0.982027869,0.000821709,,-0.91883049,-3.7264632,0.009723001,0.989403074,0.000873926,,1.514832565,2.087461754,0.011580625,0.019669587,0.968749788,,0.261082188,0.089616151,0.237427447,0.388667751,0.373904801,,1.935721135,-1.728953363,0.011463421,0.971439316,0.017097262,,2.05567477,-1.29954008,0.020447744,0.962262134,0.017290122,,0.163194096,0.090939614,0.737039955,0.008826334,sodium,sodium,,0.065117874,0.107196271,0.72561281,0.102073046,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,9.991729159,acceptable
6,MEOQUI-DELICIAS (M-48),DLCHI326M1-180617,4.495,0.2494,184.4,0.7781,68.8107,14.1446,270,32.4, ,0.22431259,0.020522526,8.020959139,0.019901121,1.432720496,0.39900141,4.425068834,1.079856019, ,0.112156295,0.010261263,8.020959139,0.019901121,0.716360248,0.39900141,4.425068834,0.53992801,sodium,bicarbonate,sodium-bicarbonate, ,3.456434525,-3.205002819,2.794034405,-0.789372712,-0.204154484,-2.610230645,-0.506625347,,4.560324878,3.690241292,0.00174307,1.57E-05,0.998241256,,1.983780303,-2.315600215,0.986446473,0.007166443,0.006387084,,-2.742750857,-5.440536946,0.001967136,0.998021262,1.16E-05,,0.615766106,-6.882635047,1.50E-05,0.999971234,1.38E-05,,1.524171521,2.32676219,0.009243301,0.01273142,0.978025279,,-0.193938703,0.452844597,0.333195556,0.476837912,0.189966532,,2.702425897,-1.579289737,0.00855502,0.987200969,0.00424401,,2.734585718,-1.174123801,0.014571283,0.980431013,0.004997704,,0.24753917,0.001799275,0.749058438,0.001603117,sodium,sodium,,0.087748469,0.126035154,0.736414315,0.049802062,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,6.074944509,acceptable
7,LOS JUNCOS 2,DLCHI379-170917,20.9,0.7554,103.8,1.691,90.995,36.868,101.05,30.1, ,1.042966216,0.062160049,4.515051836,0.043249962,1.894623969,1.04,1.656122984,1.003199573, ,0.521483108,0.031080025,4.515051836,0.043249962,0.947311985,1.04,1.656122984,0.501599787,sodium,bicarbonate,sodium-bicarbonate, ,2.726691199,-2.251915428,2.396260157,-0.690371966,-0.783719474,-1.248978079,-0.054546046,,2.678942192,3.66161537,0.050625826,0.000204209,0.949169965,,2.280705891,-2.668646162,0.993590678,0.003435053,0.002974269,,-3.120570609,-3.593775345,0.053703294,0.946144343,0.000152364,,0.399248873,-5.263308914,0.000220228,0.999598532,0.00018124,,0.892400162,0.435792331,0.09512558,0.275601408,0.629273012,,-0.376704248,1.17754321,0.237656278,0.694262852,0.06808087,,1.662934404,-0.38744011,0.124629941,0.84190358,0.033466479,,1.700696428,0.395717575,0.310892209,0.660940056,0.028167735,,0.274479949,0.000964872,0.72372821,0.000826968,sodium,sodium-calcium,,0.11435295,0.320189117,0.533029162,0.032428771,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,,0.617209068,excellent
8,ASCENSION 2,DLCHI387-260415,14.48,2.337,82.96,1.846,30.71632,13.72,138.86,14.84, ,0.722590948,0.19230611,3.60856166,0.047214329,0.639550262,0.387023977,2.275796512,0.49460072, ,0.361295474,0.096153055,3.60856166,0.047214329,0.319775131,0.387023977,2.275796512,0.24730036,sodium,bicarbonate,sodium-bicarbonate, ,1.367582883,-2.257540412,2.0788267,0.165906094,-0.024962521,-1.796561258,0.422920497,,2.738922796,2.111617107,0.020285387,0.001463114,0.978251499,,0.778979303,-2.10441656,0.918440875,0.067096646,0.014462479,,-2.2671973,-3.655878589,0.022123355,0.977559226,0.000317418,,-0.418308692,-4.499828641,0.001740713,0.997909041,0.000350246,,1.449084148,1.713563727,0.017714806,0.038394984,0.94389021,,-0.109792955,0.652379083,0.270687146,0.565637822,0.163675031,,2.249506836,-1.333301916,0.018048135,0.971598377,0.010353489,,2.346255374,-0.72596558,0.040846088,0.948593612,0.0105603,,0.240212404,0.017575118,0.738429941,0.003782536,sodium,sodium,,0.076612522,0.161219723,0.71602055,0.046147205,bicarbonate,bicarbonate,sodium-bicarbonate,sodium bicarbonate,,9.246348514,acceptable
9,ASCENSION 2,DLCHI387-100618,10.59,2.294,75.71,1.862,28.5058,17.1011,69.3,90.2, ,0.528469485,0.188767743,3.293203993,0.047623554,0.593524611,0.482400564,1.135767667,3.006265831, ,0.264234742,0.094383872,3.293203993,0.047623554,0.296762305,0.482400564,1.135767667,1.503132916,sodium,carbonate,sodium-carbonate, ,1.491283416,-2.060962605,2.175326153,0.345722123,-0.140121192,-0.996410437,-1.276653197,,2.631944457,1.763657508,0.020416328,0.00266359,0.976920082,,0.522767544,-2.086698336,0.880601051,0.103463156,0.015935793,,-2.223659351,-3.604656238,0.023035522,0.976605634,0.000358844,,-0.62075796,-4.320832907,0.002858458,0.99673651,0.000405031,,1.460610712,0.78919013,0.033887867,0.178384023,0.78772811,,1.62455759,-0.354624995,0.032292966,0.185815362,0.781891673,,-0.144701495,-1.913168554,0.021231098,0.529762527,0.449006376,,0.025669252,-0.851560441,0.115042942,0.476981161,0.407975897,,0.231013225,0.027246301,0.737565556,0.004174917,sodium,sodium,,0.021852983,0.119810582,0.448617949,0.409718486,bicarbonate,bicarbonate-carbonate,sodium-bicarbonate,sodium bicarbonate-carbonate,,12.50421482,imbalance too high
10,ASCENSION 3,DLCHI390-250617,9.433,0.4896,50.09,1.289,17.3962,10.1387,90.3,25.8, ,0.470732072,0.040288007,2.178795245,0.032968185,0.362209544,0.286,1.479939688,0.859885349, ,0.235366036,0.020144003,2.178795245,0.032968185,0.181104772,0.286,1.479939688,0.429942674,sodium,bicarbonate,sodium-bicarbonate, ,2.480167728,-2.203452995,1.987531353,0.283998653,-0.172917442,-1.816682246,-0.580577516,,2.737232833,3.308082825,0.038112235,0.000302843,0.961584922,,2.070667322,-2.075557178,0.983448732,0.007009437,0.009541831,,-2.498291203,-3.414430556,0.040110853,0.959518754,0.000370393,,0.596331319,-4.843669343,0.000332684,0.999237478,0.000429838,,1.915881889,1.568886724,0.009373083,0.049930384,0.940696532,,0.97991153,0.275456663,0.083533463,0.463062944,0.453403593,,1.388138069,-2.096772292,0.008870087,0.948068099,0.043061814,,1.555864876,-0.951510444,0.051803791,0.904926435,0.043269774,,0.265417955,0.001911241,0.730085288,0.002585515,sodium,sodium-calcium,,0.025444159,0.14119928,0.698422766,0.134933795,bicarbonate,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,,4.644712317,acceptable
