, SampleID,CationC,AnionC,FinalC,CationP,CationPH,AnionP,AnionPH,FinalP,FinalPH,hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8
0,DLAGU42-190415,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,1.787391325,-1.340970781,0.748466082,0.736443353,-0.18335898899999997,-1.497031029,0.544698865
1,DLBAJ83-080315,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,0.371224916,-1.93914516,1.932431429,0.741655409,-0.9311465290000001,-1.142353341,0.9381295390000001
2,DLCAM227-130915,1,3,calcium-bicarbonate,1,calcium,3,bicarbonate-chloride,calcium-bicarbonate,calcium bicarbonate-chloride,-0.007128346,-0.18686977100000002,2.2522198380000003,1.615503319,-0.739804516,-1.364544395,0.100401907
3,DLCAM244-130915,1,3,calcium-bicarbonate,1,calcium,3,bicarbonate-chloride,calcium-bicarbonate,calcium bicarbonate-chloride,0.324494245,0.048851572,2.707495095,-0.388830487,-0.6472779470000001,-1.3982264,-0.011495844
4,DLCHI306-190415,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,0.505810357,-2.072983679,1.783320182,0.587708502,0.401175309,-1.757592407,0.35843541100000004
5,DLCHI326M1-180617,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.456434525,-3.2050028189999997,2.794034405,-0.789372712,-0.204154484,-2.610230645,-0.5066253470000001
6,DLCHI379-170917,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,2.726691199,-2.251915428,2.396260157,-0.690371966,-0.7837194740000001,-1.248978079,-0.054546045999999994
7,DLCHI387-260415,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,1.367582883,-2.257540412,2.0788267,0.165906094,-0.024962521,-1.796561258,0.422920497
8,DLCHI387-100618,3,4,sodium-carbonate,3,sodium,3,bicarbonate-carbonate,sodium-bicarbonate,sodium bicarbonate-carbonate,1.491283416,-2.060962605,2.1753261530000003,0.345722123,-0.140121192,-0.996410437,-1.2766531970000001
9,DLCHI390-250617,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,2.480167728,-2.203452995,1.987531353,0.283998653,-0.172917442,-1.8166822459999998,-0.580577516
10,DLCHI395-260616,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.85312242,-2.66974454,1.4046942130000002,-1.0628178529999999,-0.8021008190000001,-2.009295244,0.38803005700000004
11,DLCHI395-260415,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.528184261,-2.633394,1.6367940140000001,-1.1616298520000001,-0.7244135309999999,-1.847729119,0.404296184
12,DLCHI395-250617,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.681342394,-2.8509105569999997,1.583550194,-0.586497423,-0.7721155609999999,-1.986644642,0.08856118199999999
13,DLCHI395-261014,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.5187219830000003,-2.985908016,1.577806951,-1.095657501,-0.7592006840000001,-1.7909477319999998,0.891826345
14,DLCHI395-100618,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.664525271,-2.79037508,1.421337291,-0.873637082,-0.8723362170000001,-1.9287889740000002,0.487539381
15,DLCOA456-220516,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.9617577330000002,-3.618913525,1.618036799,1.1453467,-0.5538626010000001,-3.02779492,-0.864470387
16,DLDUR5406-290418,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,3.662480667,-3.0717662810000004,2.214139141,-1.106341952,-0.289677888,-2.164647919,0.324219779
17,DLDUR5809-270119,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate-chloride,sodium-bicarbonate,sodium-calcium bicarbonate-chloride,3.701619136,-2.3312296040000002,1.86445224,0.05423365,-0.9741787829999999,-1.588946837,-0.609271636
18,DLDUR638-111118,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,3.861488941,-3.4628166960000004,2.1101532780000003,-0.268746998,0.08454804099999999,-2.608297345,-0.288340741
19,DLDUR638-030917,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,4.158212459,-3.298384023,2.368796274,-0.44208749799999997,-0.19309642100000002,-2.646168824,-0.6741919690000001
20,DLDUR643-030917,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,2.6635078219999997,-2.9147448560000004,2.561175766,0.269306327,0.151393606,-2.272285632,-0.719171215
21,DLDUR643-270518,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,2.614276613,-2.7999136210000004,2.916683281,0.33672461,-0.255022148,-2.149132234,-0.88244408
22,DLDUR644-030917,3,3,sodium-bicarbonate,3,sodium-calcium,3,bicarbonate,sodium-bicarbonate,sodium-calcium bicarbonate,3.550250465,-3.022692301,2.4498188169999997,0.487755359,-0.27787697699999997,-2.5038095190000003,-0.5686228720000001
23,DLDUR692-231218,3,3,sodium-bicarbonate,3,sodium,3,bicarbonate,sodium-bicarbonate,sodium bicarbonate,2.324319118,-2.8735571139999996,2.5721307959999997,-0.49243958600000004,-0.49924653399999996,-1.495468161,-1.0156895129999999
