iter	Passed	Remaining
0	15	30181
1	26	26214
2	40	26896
3	51	25703
4	63	25373
5	75	25018
6	86	24653
7	97	24395
8	109	24162
9	119	23874
10	130	23657
11	141	23461
12	152	23348
13	163	23252
14	175	23275
15	186	23136
16	198	23181
17	210	23137
18	224	23365
19	240	23816
20	252	23829
21	264	23779
22	276	23764
23	288	23769
24	300	23728
25	313	23776
26	324	23703
27	338	23839
28	349	23766
29	361	23758
30	373	23728
31	385	23727
32	397	23699
33	408	23649
34	420	23612
35	432	23588
36	443	23505
37	453	23434
38	465	23394
39	475	23306
40	484	23129
41	495	23088
42	504	22950
43	515	22919
44	527	22920
45	536	22799
46	546	22703
47	559	22750
48	570	22704
49	579	22594
50	591	22613
51	603	22601
52	614	22570
53	622	22423
54	633	22385
55	643	22345
56	655	22328
57	666	22312
58	676	22258
59	687	22233
60	698	22209
61	709	22182
62	719	22112
63	729	22075
64	740	22045
65	752	22039
66	761	21974
67	772	21954
68	783	21934
69	794	21912
70	804	21844
71	814	21820
72	825	21796
73	835	21739
74	845	21713
75	857	21716
76	869	21724
77	882	21736
78	894	21749
79	906	21764
80	918	21760
81	930	21768
82	942	21767
83	955	21791
84	966	21780
85	979	21797
86	991	21794
87	1004	21833
88	1016	21822
89	1029	21840
90	1048	21996
91	1061	22024
92	1073	22013
93	1082	21945
94	1090	21870
95	1100	21821
96	1110	21794
97	1122	21782
98	1134	21780
99	1145	21760
100	1156	21743
101	1167	21718
102	1175	21657
103	1187	21641
104	1200	21674
105	1210	21634
106	1221	21608
107	1230	21551
108	1239	21510
109	1251	21506
110	1263	21508
111	1275	21501
112	1285	21473
113	1295	21434
114	1309	21456
115	1318	21412
116	1329	21398
117	1338	21348
118	1349	21330
119	1360	21306
120	1368	21257
121	1377	21203
122	1388	21190
123	1399	21172
124	1409	21146
125	1420	21123
126	1430	21103
127	1441	21078
128	1450	21032
129	1460	21011
130	1471	20990
131	1483	20994
132	1495	20986
133	1506	20975
134	1517	20957
135	1525	20910
136	1536	20887
137	1546	20873
138	1557	20856
139	1568	20844
140	1579	20829
141	1590	20808
142	1600	20784
143	1609	20743
144	1620	20727
145	1628	20680
146	1639	20660
147	1649	20641
148	1660	20626
149	1671	20614
150	1681	20587
151	1692	20578
152	1701	20541
153	1712	20527
154	1723	20512
155	1736	20529
156	1750	20544
157	1759	20509
158	1769	20491
159	1779	20467
160	1790	20447
161	1800	20429
162	1811	20411
163	1821	20396
164	1831	20370
165	1843	20365
166	1855	20364
167	1866	20350
168	1874	20306
169	1884	20291
170	1895	20272
171	1905	20253
172	1916	20241
173	1926	20218
174	1937	20200
175	1945	20161
176	1953	20121
177	1963	20102
178	1974	20089
179	1985	20071
180	1995	20051
181	2005	20035
182	2014	20002
183	2026	19998
184	2035	19974
185	2046	19961
186	2056	19939
187	2067	19928
188	2078	19912
