,identification,Ca_input (mg/L),Mg_input (mg/L),Na_input (mg/L),K_input (mg/L),SO4_input (mg/L),Cl_input (mg/L),HCO3_input (mg/L),CO3_input (mg/L),Ca mMol/L,Mg mMol/L,Na mMol/L,K mMol/L,SO4 mMol/L,Cl mMol/L,HCO3 mMol/L,CO3 mMol/L,GMC,hp_Ca,hp_Mg,hp_Na,hp_K,hp_SO4,hp_Cl,hp_HCO3,hp_CO3,7 hlr (b),7 hlr (b+h),Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,Catboost (b),Catboost (b+h),Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,SVM-L (b),SVM-L (b+h),Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,SVM-P (b),SVM-P (b+h),Ca_p,Mg_p,Na_p,K_p,SO4_p,Cl_p,HCO3_p,CO3_p,SVM-RBF (b),SVM-RBF (b+h)
0,DLAGU42-190415,33.68,1.5430000000000001,33.33,7.015,17.44278,16.15,103.4,13.2,0.840361295,0.06348488,1.449775315,0.179419566,0.181589698,0.455571227,1.694637472,0.219970671,Na-HCO3,0.297830026,0.001841554,0.70032842,0.046320883,0.012726016000000001,0.084803695,0.90247029,0.16291360800000002,Na-HCO3,Na-Ca-HCO3,0.016629671508689044,1.0807945885874462e-13,0.9833703283876668,1.0353616370395288e-10,9.018868756767176e-13,1.0961281349234092e-12,0.9999999999973745,6.273758876716622e-13,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,1.3756125257817523e-14,2.945194494707429e-14,0.9999999499999628,4.999999415031292e-08,Na-HCO3,Na-HCO3,0.012880268219925106,5.072802593270321e-08,0.987108008903243,1.1672148806006684e-05,1.2563811986037983e-11,2.466981844435077e-11,0.9999999501811115,4.978165479414155e-08,Na-HCO3,Na-HCO3,3.551488823799419e-14,1.2715207031559486e-14,0.9999999499999344,5.0000017473676395e-08,1.3783435686050529e-14,2.945555024724473e-14,0.9999999500001716,4.999978506467632e-08,Na-HCO3,Na-HCO3
1,DLBAJ83-080315,22.16,9.546,91.0,3.2230000000000003,26.048000000000002,51.21,108.87,13.37,0.5529218020000001,0.392758692,3.958282438,0.082433252,0.27117514800000003,1.4445698169999999,1.784286089,0.222803626,Na-HCO3,0.024484797000000003,0.011837354,0.9636778490000001,0.02214419,0.016905282,0.394597184,0.588497533,0.028765965,Na-HCO3,Na-HCO3-Cl,1.689443279590424e-05,8.795523361088657e-18,0.9999831055671886,1.5540783992731754e-14,1.2392481376463902e-11,0.001691739634073664,0.9983082592936863,1.0598475774881676e-09,Na-HCO3,Na-HCO3,2.9590209663911684e-14,1.5891672561564542e-14,0.999999966666609,3.333334553800749e-08,4.381034910583321e-07,7.983531218628017e-07,0.9999984465667098,3.1697667734739424e-07,Na-HCO3,Na-HCO3,1.3403465655724409e-11,8.464906052612946e-12,0.9999999666353713,3.3342760388823505e-08,3.316238145982479e-05,0.11731888614245237,0.8826463790986513,1.5723774365829682e-06,Na-HCO3,Na-HCO3,2.9595892443839856e-14,1.5907083888063386e-14,0.999999966666609,3.3333345538007494e-08,7.983178243583879e-07,1.4566846880620302e-06,0.9999971952020202,5.49795467219878e-07,Na-HCO3,Na-HCO3
2,DLCAM227-130915,155.3,17.86,20.22,3.0,13.9319,54.2,174.24,39.6,3.8749438589999996,0.734828225,0.8795216579999999,0.07672967900000001,0.14503935199999998,1.5289139630000002,2.855644421,0.659912012,Ca-HCO3,0.903579483,0.034402321,0.062018196,0.0009682139999999999,0.003171098,0.245760963,0.75106794,0.20574551,Ca-HCO3,Ca-HCO3-Cl,0.9458017518598422,0.0002283972030363469,0.0010825119948708508,0.05288733894225069,3.7792915697712535e-12,3.806732474925823e-07,0.9999996193003837,2.2589368853317012e-11,Ca-HCO3,Ca-HCO3,0.9999998164387371,5.0114281897850194e-08,1.0011364031771022e-07,3.333334052660267e-08,1.3743457641718758e-14,2.945026617877615e-14,0.9999999499999392,5.00000174736765e-08,Ca-HCO3,Ca-HCO3,0.9996304062664556,5.678856297861169e-05,0.00031264388123339657,1.6128933215429523e-07,5.421877670129408e-06,0.004053181635905855,0.9959366072325386,4.789253885388295e-06,Ca-HCO3,Ca-HCO3,0.9999998165309001,5.0067989746999596e-08,1.000677695687357e-07,3.333334053121781e-08,1.3743457641718758e-14,2.945026617877615e-14,0.9999999499999392,5.00000174736765e-08,Ca-HCO3,Ca-HCO3
3,DLCAM244-130915,71.54,16.62,20.71,2.467,134.0457,64.06,233.64,57.42,1.7850192130000002,0.683809916,0.900835487,0.063097373,1.395495336,1.807052186,3.829159565,0.956872417,Ca-HCO3,0.768874765,0.11942119699999999,0.111704038,0.001016038,0.064818146,0.188532195,0.746649659,0.11176922199999999,Ca-HCO3,Ca-HCO3-Cl,0.9907220461738361,1.8717085332006662e-05,6.781650084906579e-06,0.00925245509074706,3.0378427144730945e-11,1.0074259359663557e-07,0.9999998991944706,3.2557305336470155e-11,Ca-HCO3,Ca-HCO3,0.9999998166591934,5.0003727966439153e-08,1.000037380796325e-07,3.333334053763631e-08,1.5460387203086814e-14,2.8167726960790957e-14,0.9999999666664904,3.33334660412986e-08,Ca-HCO3,Ca-HCO3,0.9583904433420666,0.007785350711755048,0.033817312330255714,6.893615922357794e-06,0.000259763760126056,0.003186303569944481,0.9965400142024371,1.391846749229136e-05,Ca-HCO3,Ca-HCO3,0.9999998166352091,5.001572598298014e-08,1.000157244306393e-07,3.3333340536436905e-08,1.5471832826250057e-14,2.8176509133974084e-14,0.9999999666663856,3.333357064924632e-08,Ca-HCO3,Ca-HCO3
4,DLCHI306-190415,13.35,5.928,73.91,2.658,21.58585,9.6,143.1,16.96,0.333100454,0.243900432,3.214908297,0.067982495,0.22472151699999998,0.270803949,2.3452864819999997,0.282628983,Na-HCO3,0.015374668000000001,0.007896452,0.976728879,0.033609701,0.011580625,0.019669587,0.968749788,0.373904801,Na-HCO3,Na-HCO3,3.247454661852107e-05,3.848217296405209e-19,0.9999675254533799,1.4614459542402917e-15,8.053045032368872e-13,1.413411309593069e-13,0.999999999998312,7.412608017862773e-13,Na-HCO3,Na-HCO3,2.9590773083014575e-14,1.589319754390347e-14,0.999999966666609,3.3333345538007494e-08,1.9800971798918046e-14,2.990192834333541e-14,0.9999999068619871,9.313796301367616e-08,Na-HCO3,Na-HCO3,1.3399815895183617e-12,8.722222604003991e-13,0.9999999666467897,3.335099810454742e-08,2.3975136887520836e-14,3.7131185219487953e-14,0.9999999165852526,8.341468632164939e-08,Na-HCO3,Na-HCO3,2.958999454080249e-14,1.589109046902189e-14,0.999999966666609,3.3333345538007494e-08,2.000587392630835e-14,2.9213015027699534e-14,0.999999905737372,9.42625787159852e-08,Na-HCO3,Na-HCO3
5,DLCHI326M1-180617,4.495,0.2494,184.4,0.7781,68.8107,14.1446,270.0,32.4,0.112156295,0.010261263,8.020959139,0.019901121,0.716360248,0.39900141,4.425068834,0.53992801,Na-HCO3,0.00174307,1.57e-05,0.9982412559999999,0.006387084,0.009243300999999999,0.01273142,0.978025279,0.189966532,Na-HCO3,Na-HCO3,0.10043321929657327,3.137774456474449e-16,0.8995667807033598,6.649640248972977e-14,2.5413299971218684e-09,2.236354247734916e-10,0.9999999967078687,5.27165999562554e-10,Na-HCO3,Na-HCO3,3.5514844333967044e-14,1.2715354212405911e-14,0.9999999499999344,5.000001747089151e-08,3.58974755309159e-14,1.2849372282089634e-14,0.9999999494865369,5.051341419029571e-08,Na-HCO3,Na-HCO3,6.001513872108406e-10,2.3068251280922353e-10,0.9999980447070527,1.954462113342083e-06,8.593737504120759e-07,4.008531185991348e-07,0.9999096189015688,8.912087156226194e-05,Na-HCO3,Na-HCO3,3.547020570861663e-14,1.286314020443813e-14,0.9999999500027631,4.999718855136216e-08,3.5734289518047986e-14,1.2925973840213523e-14,0.9999999496624818,5.033746956862341e-08,Na-HCO3,Na-HCO3
6,DLCHI379-170917,20.9,0.7554,103.8,1.6909999999999998,90.995,36.868,101.05,30.1,0.521483108,0.031080025,4.5150518360000005,0.043249962,0.947311985,1.04,1.656122984,0.5015997870000001,Na-HCO3,0.050625826,0.000204209,0.949169965,0.0029742690000000003,0.09512558,0.275601408,0.6292730120000001,0.06808087,Na-HCO3,Na-Ca-HCO3-Cl,0.35332490009157164,1.9583473700791622e-15,0.6466750999071387,1.28773930596872e-12,2.0217315818120282e-05,9.303798122134775e-05,0.9998867154150068,2.928795373567733e-08,Na-HCO3,Na-Ca-HCO3,3.551317276950392e-14,1.2720955128993414e-14,0.9999999499999388,5.0000013204622056e-08,1.1898974927465806e-10,1.992147173237977e-10,0.9999999662808955,3.34009000147873e-08,Na-HCO3,Na-HCO3,2.510863413778559e-07,1.1280508550698955e-07,0.9999967381307349,2.8979778382051123e-06,0.04456907302811814,0.06700348528112597,0.8876234640107579,0.0008039776799979864,Na-HCO3,Na-HCO3,2.3934861753671007e-11,9.8284486024817e-12,0.9999999503090062,4.965723041999054e-08,2.3963979418738276e-10,3.8121620290938134e-10,0.9999999659185218,3.346062209227985e-08,Na-HCO3,Na-HCO3
7,DLCHI387-260415,14.48,2.3369999999999997,82.96,1.8459999999999999,30.71632,13.72,138.86,14.84,0.361295474,0.096153055,3.60856166,0.047214329000000006,0.319775131,0.387023977,2.275796512,0.24730036,Na-HCO3,0.020285387,0.001463114,0.9782514990000001,0.014462478999999999,0.017714806,0.038394984,0.94389021,0.163675031,Na-HCO3,Na-HCO3,0.001245215822892092,6.691559048620483e-18,0.9987547841771034,4.3502786466264044e-15,7.714366114492639e-12,3.4086861807032652e-12,0.9999999999801944,8.682544672427861e-12,Na-HCO3,Na-HCO3,2.958991738659914e-14,1.5890881723858572e-14,0.999999966666609,3.3333345538007494e-08,1.5581835320651952e-14,2.8251910968563877e-14,0.9999999666370184,3.3362937790943354e-08,Na-HCO3,Na-HCO3,4.203343081374522e-11,2.2647755139891396e-11,0.9999999356317276,6.430359122022828e-08,1.8284190450204408e-11,2.721036549239641e-11,0.9999999320208095,6.79336958748902e-08,Na-HCO3,Na-HCO3,2.958991738659914e-14,1.5890881723858572e-14,0.999999966666609,3.3333345538007494e-08,1.5774100374316373e-14,2.8395866914654044e-14,0.9999999666423007,3.335765519980816e-08,Na-HCO3,Na-HCO3
8,DLCHI387-100618,10.59,2.294,75.71,1.8619999999999999,28.5058,17.1011,69.3,90.2,0.26423474199999997,0.094383872,3.293203993,0.047623554000000005,0.296762305,0.482400564,1.135767667,1.503132916,Na-CO3,0.020416328,0.00266359,0.976920082,0.015935793,0.033887867,0.178384023,0.78772811,0.781891673,Na-HCO3,Na-HCO3-CO3,0.04398847250467744,1.1119308886495561e-17,0.9560115274952589,6.367656000426851e-14,4.297089454356818e-11,1.0830430633188645e-08,0.0017518910185103339,0.9982480981080882,Na-CO3,Na-CO3,2.958991738659914e-14,1.5890881723858572e-14,0.999999966666609,3.3333345538007494e-08,1.72313039697747e-07,1.8456986594807345e-07,2.6402366599182546e-07,0.9999993790934284,Na-CO3,Na-CO3,3.030121771995177e-10,1.6421435113094073e-10,0.9999987834351522,1.2160976211572712e-06,0.00012324178135564661,0.0004863775653921804,0.1754892505874741,0.8239011300657783,Na-CO3,Na-CO3,2.958991738659914e-14,1.5890881723858572e-14,0.999999966666609,3.3333345538007494e-08,1.7844273240320647e-06,2.6765917023707684e-06,0.002303310806035762,0.9976922281749379,Na-CO3,Na-CO3
9,DLCHI390-250617,9.433,0.4896,50.09,1.2890000000000001,17.3962,10.1387,90.3,25.8,0.23536603600000003,0.020144003,2.178795245,0.032968185,0.181104772,0.28600000000000003,1.4799396880000002,0.42994267399999997,Na-HCO3,0.038112235,0.000302843,0.961584922,0.009541831,0.009373083,0.049930384,0.940696532,0.453403593,Na-HCO3,Na-Ca-HCO3,0.11675862390796822,2.3399571823509774e-15,0.8832413760917632,2.6628628689254524e-13,3.643353583396116e-11,3.237843183291694e-10,0.9999999949870937,4.652688520151203e-09,Na-HCO3,Na-HCO3,3.551486549647495e-14,1.271528326912435e-14,0.9999999499999344,5.000001747293276e-08,1.9594242860468285e-14,2.099489536751012e-14,0.9999998999999297,1.0000002976059971e-07,Na-HCO3,Na-HCO3,3.834958898948939e-08,1.4431917481752697e-08,0.99999946559162,4.816268735969775e-07,7.661857379736064e-08,9.031895649532409e-08,0.9996814719758556,0.0003183610866141889,Na-HCO3,Na-HCO3,3.550055914429751e-14,1.2763049730865952e-14,0.9999999500002302,4.9999721672579694e-08,1.959552513481172e-14,2.0998105977967073e-14,0.9999998999999312,1.0000002823724145e-07,Na-HCO3,Na-HCO3
