,identification,Ca,Mg,Na,K,SO4,Cl,HCO3,CO3,Ca_mmol,Mg_mmol,Na_mmol,K_mmol,SO4_mmol,Cl_mmol,HCO3_mmol,CO3_mmol,GMC,7 hlr (b),7 hlr (b+h),Catboost (b),Catboost (b+h),SVM-L (b),SVM-L (b+h),SVM-P (b),SVM-P (b+h),SVM-RBF (b),SVM-RBF (b+h)
0,DLAGU42-190415,33.68,1.5430000000000001,33.33,7.015,17.44278,16.15,103.4,13.2,0.840361295,0.06348488,1.449775315,0.179419566,0.181589698,0.455571227,1.694637472,0.219970671,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
1,DLBAJ83-080315,22.16,9.546,91.0,3.2230000000000003,26.048000000000002,51.21,108.87,13.37,0.5529218020000001,0.392758692,3.958282438,0.082433252,0.27117514800000003,1.4445698169999999,1.784286089,0.222803626,Na-HCO3,Na-HCO3,Na-HCO3-Cl,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
2,DLCAM227-130915,155.3,17.86,20.22,3.0,13.9319,54.2,174.24,39.6,3.8749438589999996,0.734828225,0.8795216579999999,0.07672967900000001,0.14503935199999998,1.5289139630000002,2.855644421,0.659912012,Ca-HCO3,Ca-HCO3,Ca-HCO3-Cl,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
3,DLCAM244-130915,71.54,16.62,20.71,2.467,134.0457,64.06,233.64,57.42,1.7850192130000002,0.683809916,0.900835487,0.063097373,1.395495336,1.807052186,3.829159565,0.956872417,Ca-HCO3,Ca-HCO3,Ca-HCO3-Cl,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3
4,DLCHI306-190415,13.35,5.928,73.91,2.658,21.58585,9.6,143.1,16.96,0.333100454,0.243900432,3.214908297,0.067982495,0.22472151699999998,0.270803949,2.3452864819999997,0.282628983,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
5,DLCHI326M1-180617,4.495,0.2494,184.4,0.7781,68.8107,14.1446,270.0,32.4,0.112156295,0.010261263,8.020959139,0.019901121,0.716360248,0.39900141,4.425068834,0.53992801,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
6,DLCHI379-170917,20.9,0.7554,103.8,1.6909999999999998,90.995,36.868,101.05,30.1,0.521483108,0.031080025,4.5150518360000005,0.043249962,0.947311985,1.04,1.656122984,0.5015997870000001,Na-HCO3,Na-HCO3,Na-Ca-HCO3-Cl,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
7,DLCHI387-260415,14.48,2.3369999999999997,82.96,1.8459999999999999,30.71632,13.72,138.86,14.84,0.361295474,0.096153055,3.60856166,0.047214329000000006,0.319775131,0.387023977,2.275796512,0.24730036,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
8,DLCHI387-100618,10.59,2.294,75.71,1.8619999999999999,28.5058,17.1011,69.3,90.2,0.26423474199999997,0.094383872,3.293203993,0.047623554000000005,0.296762305,0.482400564,1.135767667,1.503132916,Na-CO3,Na-HCO3,Na-HCO3-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3
9,DLCHI390-250617,9.433,0.4896,50.09,1.2890000000000001,17.3962,10.1387,90.3,25.8,0.23536603600000003,0.020144003,2.178795245,0.032968185,0.181104772,0.28600000000000003,1.4799396880000002,0.42994267399999997,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
